Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
2014,1,1,6.5,3.0,4.8,13.2,0.0,0.8,0.0,0.8,0.0,<31
2014,1,2,7.5,5.2,6.4,11.6,0.0,13.8,0.0,13.8,28.0,80
2014,1,3,6.8,0.5,3.7,14.3,0.0,0.0,0.0,0.0,28.0,76
2014,1,4,4.9,-2.9,1.0,17.0,0.0,0.0,0.0,0.0,0.0,<31
2014,1,5,4.7,-3.4,0.7,17.3,0.0,0.0,0.0,0.0,0.0,<31
2014,1,6,3.7,-3.2,0.3,17.7,0.0,0.0,0.0,0.0,0.0,<31
2014,1,7,7.1,1.1,4.1,13.9,0.0,12.2,0.0,12.2,0.0,<31
2014,1,8,7.8,5.9,6.9,11.1,0.0,19.8,0.0,19.8,12.0,41
2014,1,9,7.3,3.4,5.4,12.6,0.0,17.0,0.0,17.0,26.0,72
2014,1,10,7.9,3.1,5.5,12.5,0.0,18.8,0.0,18.8,8.0,46
2014,1,11,9.4,4.9,7.2,10.8,0.0,38.2,0.0,38.2,27.0,70
2014,1,12,6.6,3.6,5.1,12.9,0.0,8.8,0.0,8.8,27.0,70
2014,1,13,12.1,3.2,7.7,10.3,0.0,0.0,0.0,0.0,0.0,<31
2014,1,14,9.8,5.5,7.7,10.3,0.0,0.0,0.0,0.0,0.0,<31
2014,1,15,8.3,3.4,5.9,12.1,0.0,0.0,0.0,0.0,0.0,<31
2014,1,16,6.9,0.1,3.5,14.5,0.0,0.0,0.0,0.0,0.0,<31
2014,1,17,5.5,3.6,4.6,13.4,0.0,0.0,0.0,0.0,0.0,<31
2014,1,18,5.4,1.5,3.5,14.5,0.0,0.0,0.0,0.0,0.0,<31
2014,1,19,6.7,0.7,3.7,14.3,0.0,0.0,0.0,0.0,0.0,<31
2014,1,20,6.1,0.3,3.2,14.8,0.0,0.0,0.0,0.0,0.0,<31
2014,1,21,6.3,-0.6,2.9,15.1,0.0,0.0,0.0,0.0,0.0,<31
2014,1,22,7.2,1.9,4.6,13.4,0.0,0.0,0.0,0.0,0.0,<31
2014,1,23,6.0,-0.7,2.7,15.3,0.0,0.0,0.0,0.0,0.0,<31
2014,1,24,5.3,1.5,3.4,14.6,0.0,0.0,0.0,0.0,0.0,<31
2014,1,25,9.8,-0.4,4.7,13.3,0.0,0.0,0.0,0.0,0.0,<31
2014,1,26,4.0,1.4,2.7,15.3,0.0,0.0,0.0,0.0,0.0,<31
2014,1,27,5.0,0.7,2.9,15.1,0.0,0.0,0.0,0.0,0.0,<31
2014,1,28,7.6,4.6,6.1,11.9,0.0,1.2,0.0,1.2,0.0,<31
2014,1,29,7.3,5.2,6.3,11.7,0.0,6.0,0.0,6.0,29.0,44
2014,1,30,6.3,2.8,4.6,13.4,0.0,5.6,0.0,5.6,11.0,37
2014,1,31,5.5,0.3,2.9,15.1,0.0,0.0,0.0,0.0,0.0,<31
2014,2,1,4.1,-2.1,1.0,17.0,0.0,0.0,0.0,0.0,0.0,<31
2014,2,2,5.9,-1.3,2.3,15.7,0.0,0.0,0.0,0.0,0.0,<31
2014,2,3,4.3,-3.8,0.3,17.7,0.0,0.0,0.0,0.0,0.0,<31
2014,2,4,1.3,-5.2,-2.0,20.0,0.0,0.0,0.0,0.0,10.0,37
2014,2,5,0.4,-7.3,-3.5,21.5,0.0,0.0,0.0,0.0,10.0,57
2014,2,6,1.1,-9.9,-4.4,22.4,0.0,0.0,0.0,0.0,12.0,35
2014,2,7,1.3,-5.1,-1.9,19.9,0.0,0.0,0.0,0.0,0.0,<31
2014,2,8,1.8,-8.8,-3.5,21.5,0.0,0.0,0.0,0.0,29.0,33
2014,2,9,3.0,-5.5,-1.3,19.3,0.0,0.0,0.0,0.0,0.0,<31
2014,2,10,7.3,0.7,4.0,14.0,0.0,8.4,0.0,8.4,19.0,37
