"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 00:00","2016","12","01","00:00","-1.0","","-1.5","","97","","0.0","","36","","20","","","","98.33","","","","-7","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 01:00","2016","12","01","01:00","-1.4","","-1.9","","97","","0.0","","36","","20","","","","98.39","","","","-7","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 02:00","2016","12","01","02:00","-1.5","","-2.0","","97","","0.0","","1","","19","","","","98.41","","","","-7","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 03:00","2016","12","01","03:00","-1.8","","-2.2","","97","","0.0","","36","","20","","","","98.45","","","","-8","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 04:00","2016","12","01","04:00","-1.9","","-2.8","","94","","0.0","","36","","23","","","","98.48","","","","-8","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 05:00","2016","12","01","05:00","-2.1","","-3.1","","93","","0.0","","1","","19","","","","98.52","","","","-8","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 06:00","2016","12","01","06:00","-2.8","","-3.6","","94","","0.0","","34","","23","","","","98.58","","","","-9","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 07:00","2016","12","01","07:00","-3.0","","-4.0","","93","","0.0","","1","","22","","","","98.61","","","","-9","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 08:00","2016","12","01","08:00","-3.0","","-3.7","","95","","0.0","","36","","17","","","","98.64","","","","-9","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 09:00","2016","12","01","09:00","-3.0","","-3.9","","94","","0.0","","1","","22","","","","98.66","","","","-9","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 10:00","2016","12","01","10:00","-2.7","","-3.3","","96","","0.0","","1","","23","","","","98.71","","","","-9","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 11:00","2016","12","01","11:00","-2.1","","-2.9","","94","","0.0","","1","","21","","","","98.74","","","","-8","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 12:00","2016","12","01","12:00","-1.7","","-2.6","","93","","0.0","","36","","19","","","","98.72","","","","-7","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 13:00","2016","12","01","13:00","-1.7","","-2.9","","92","","0.0","","35","","22","","","","98.73","","","","-8","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 14:00","2016","12","01","14:00","-2.0","","-3.1","","92","","0.0","","36","","20","","","","98.76","","","","-8","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 15:00","2016","12","01","15:00","-2.2","","-3.1","","94","","0.0","","1","","20","","","","98.80","","","","-8","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 16:00","2016","12","01","16:00","-2.3","","-3.2","","94","","0.0","","35","","22","","","","98.86","","","","-8","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 17:00","2016","12","01","17:00","-2.4","","-3.4","","93","","0.0","","36","","18","","","","98.88","","","","-8","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 18:00","2016","12","01","18:00","-2.9","","-3.8","","93","","0.0","","1","","17","","","","98.94","","","","-8","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-12-01 19:00","2016","12","01","19:00","-3.0","","-3.9","","93","","0.0","","1","","15","","","","98.97","","","","-8","","NA"
